Description	Address	Last Update	Language	License	Star	Topics	Issues Need Help
Bitbar plugin to show Wuhan virus data.	https://github.com/Anthonyeef/wuhan-virus-bitbar-plugin	2020-02-05 16:56:15 HKT+0800	JavaScript	None	75	bitbar-plugin, python-script, wuhan-pneumonia	0
2019 Novel Coronavirus in the city of Xiaogan (Near Wuhan, the virus originated)	https://github.com/GloryWong/xiaogan2019ncov	2020-02-05 16:52:54 HKT+0800	JavaScript	None	0	None	0
A public collection of what is happening worldwide regarding the new virus 2019-nCoV.	https://github.com/SamuelePolimi/Coronavirus-Report	2020-02-05 16:51:37 HKT+0800	Python	None	1	None	0
Telegram bot to get latest info about Novel Coronavirus (2019-ncov)	https://github.com/the-robot/corona-bot	2020-02-05 16:51:14 HKT+0800	JavaScript	None	7	telegram-bot, coronavirus, wuhan-pneumonia, wuhan-coronavirus-outbreak, coronavirus-globaloutbreak, coronavirus-real-time	0
微信小程序：新型冠状肺炎患者相同行程查询	https://github.com/KakaWanYifan/2019-nCoV-Same-Trip-Query	2020-02-05 16:47:25 HKT+0800	JavaScript	None	4	None	0
天佑武汉 天耀中华	https://github.com/Sephiroth0119/weibo-0205	2020-02-05 16:47:22 HKT+0800	PHP	None	0	None	0
快速对官方发布的寻人信息进行筛选，对指定新闻列表自动监控，找出未更新的数据条目	https://github.com/ppfish45/2019-nCov-data-update	2020-02-05 16:44:49 HKT+0800	Python	MIT license	0	None	0
2020新冠肺炎记忆：传媒报道与非虚构写作（持续更新）	https://github.com/2019ncovmemory/nCovMemory	2020-02-05 16:43:15 HKT+0800	None	None	67	wuhan, ncov, coronavirus	0
武汉新型冠状病毒肺炎疫情信息查询	https://github.com/tfcx-th/wuhan-2019nCoV-info	2020-02-05 16:41:51 HKT+0800	JavaScript	None	0	None	0
Documenting Chinese efforts to combat the 2019-nCoV（记录中国人抗击新型冠状病毒的努力）	https://github.com/AlbertGithubHome/ChineseVictory	2020-02-05 16:39:32 HKT+0800	None	MIT license	1	None	0
evaluating uncertainties associated with Wuhan R0 estimates	https://github.com/parksw3/nCoV_framework	2020-02-05 16:38:11 HKT+0800	TeX	None	2	None	0
wuhan-collecting	https://github.com/Edlison/wuhan-collecting	2020-02-05 16:37:01 HKT+0800	Java	None	0	None	0
2019_nCov_Trips	https://github.com/YuhangGu/2019_nCov_Trips	2020-02-05 16:35:42 HKT+0800	HTML	None	0	None	0
A simple personal website on the Coronavirus.	https://github.com/bahe007/CoronaTracker	2020-02-05 16:33:15 HKT+0800	JavaScript	None	0	None	0
ncov2019_api	https://github.com/lietxia/ncov2019_api	2020-02-05 16:31:26 HKT+0800	PHP	None	1	None	0
肺炎疫情的问答机器人	https://github.com/Houlong66/feiyan_qabot	2020-02-05 16:30:50 HKT+0800	Python	None	0	None	0
This code designs 2019-nCoV mathematical model and predict the effectiveness of pandemic.	https://github.com/yuji0001/202002nCoV_analysis	2020-02-05 16:29:29 HKT+0800	Jupyter Notebook	None	0	None	0
针对2019年01月份爆发的新型管状病毒 2019-nCov, 开发的一个用于获取疫情消息的微信小程序。	https://github.com/ronzzj/vrius-project	2020-02-05 16:26:07 HKT+0800	None	None	0	None	0
关心2019-nCoV疫情，同步国外（学术、正式组织、有影响力的媒体）信息。	https://github.com/Academic-nCoV/2019-nCoV	2020-02-05 16:25:11 HKT+0800	None	None	47	None	0
nodejs 新型冠状病毒数据爬虫项目	https://github.com/ddzyan/new-coronavirus	2020-02-05 16:24:04 HKT+0800	JavaScript	None	0	None	0
nCoV-map-backend	https://github.com/2020-nCoV/nCoV-map-backend	2020-02-05 16:23:23 HKT+0800	JavaScript	None	0	None	0
service-4ncov	https://github.com/4ncov/service-4ncov	2020-02-05 16:20:21 HKT+0800	Java	Apache-2.0 license	4	None	0
2019-nCoV-AU	https://github.com/UniLauX/2019-nCoV-AU	2020-02-05 16:19:48 HKT+0800	None	None	5	None	0
CoronavirusChart	https://github.com/kaichih/CoronavirusChart	2020-02-05 16:16:15 HKT+0800	HTML	None	0	None	0
Twitter bot for posting information on spread of 2019-nCoV	https://github.com/TheYadda/2019-nCoV-Tracker	2020-02-05 16:06:37 HKT+0800	Python	GPL-3.0 license	9	None	0
新型冠状病毒-实时疫情-数据可视化-React版本	https://github.com/xieyezi/2019-nCoV-Virus	2020-02-05 16:06:33 HKT+0800	JavaScript	None	3	react, echarts, 2019-ncov, ncov-data-visual, wuhan-virus, ncov-2019	0
nCov2019	https://github.com/lizpku/nCov2019	2020-02-05 16:04:48 HKT+0800	JavaScript	None	0	None	0
Coronavirus-Map	https://github.com/imsoncod/Coronavirus-Map	2020-02-05 16:03:03 HKT+0800	JavaScript	None	0	None	0
2019-nCoV-HF	https://github.com/twoer/2019-nCoV-HF	2020-02-05 16:02:38 HKT+0800	Vue	None	2	None	0
2019-nCov	https://github.com/ncov-timeline/2019-nCov	2020-02-05 16:02:33 HKT+0800	None	None	0	None	0
Real-time map of 2019-nCoV patients	https://github.com/JieJiSS/wh-2019-ncov-live-status	2020-02-05 16:00:26 HKT+0800	JavaScript	Apache-2.0 license	0	None	0
nCoVCrawler	https://github.com/Benknightdark/nCoVCrawler	2020-02-05 15:59:36 HKT+0800	Jupyter Notebook	None	0	None	0
基于WXPY的微信机器人，为武汉加油！主要功能：谣言检测、疫情追踪、同行人追踪等，欢迎加入！	https://github.com/MarkShawn2020/robot-for-wuhan	2020-02-05 15:58:59 HKT+0800	Python	None	2	wxpy, wuhan, python, ncov, ncov-2019	0
广州市新型冠状病毒感染确诊病例分布	https://github.com/cartosquare/guangzhou-2019-nCov	2020-02-05 15:56:24 HKT+0800	HTML	None	0	None	0
nCov	https://github.com/onlysmooth/nCov	2020-02-05 15:51:02 HKT+0800	JavaScript	None	0	None	0
tracking dev work	https://github.com/wuhanunited/wuhanunited-dev	2020-02-05 15:50:27 HKT+0800	None	MIT license	0	None	0
疫情出入管理登记	https://github.com/margina757/nCoV_monitoring	2020-02-05 15:50:09 HKT+0800	PHP	None	0	None	0
wuhan2020_minapp_api	https://github.com/xiebinbin/wuhan2020_minapp_api	2020-02-05 15:49:28 HKT+0800	PHP	None	1	None	0
疫情可视化页面	https://github.com/songcee/yiqing	2020-02-05 15:48:07 HKT+0800	Vue	None	1	None	0
移动端新型冠状病毒疫情综合网页	https://github.com/corcd/ncovh5	2020-02-05 15:45:45 HKT+0800	JavaScript	None	0	None	0
Coronavirus	https://github.com/rnjsalswl93/Coronavirus	2020-02-05 15:41:46 HKT+0800	None	None	0	None	0
一款新型冠状病毒背景下的公益塔防游戏	https://github.com/sheencity/nCoVTowerDefense	2020-02-05 15:38:19 HKT+0800	None	None	0	None	0
CFR	https://github.com/nicogoebel/nCoV	2020-02-05 15:35:33 HKT+0800	None	None	0	None	0
抓取Github上与武汉疫情有关项目的简单爬虫	https://github.com/chbinnc/Wuhan-nCoV-Github-Proj-List	2020-02-05 15:35:10 HKT+0800	Python	MIT license	0	None	0
GeoChart of 2019-nCoV Casualties	https://github.com/huikaihoo/2019-nCoV	2020-02-05 15:31:28 HKT+0800	JavaScript	None	0	geochart, 2019-ncov	0
To analyze the relationship between the number of cases of Coronavirus against the Stock Market by tracking the impac…	https://github.com/akalia25/StockMarket_Virus_Relationship	2020-02-05 15:30:05 HKT+0800	Python	None	1	None	0
I must have knowledge to take care my family.	https://github.com/FamilyProtector/2019_ncov	2020-02-05 15:26:26 HKT+0800	Python	GPL-3.0 license	1	None	0
Information sharing portal about nCov/SARS/MERS for drug discovery	https://github.com/GHDDI-AILab/Targeting2019-nCoV	2020-02-05 15:23:45 HKT+0800	Python	MIT license	11	drug-discovery, mers, sars, ncov	1
疫战2020	https://github.com/yizhan2020/yizhan2020.github.io	2020-02-05 15:23:18 HKT+0800	CSS	None	0	None	0
2019-nCoV	https://github.com/boxfrommars/2019-nCoV	2020-02-05 15:22:52 HKT+0800	PHP	None	0	None	0
situation-coronavirus	https://github.com/aknow2/situation-coronavirus	2020-02-05 15:21:29 HKT+0800	JavaScript	GPL-3.0 license	2	None	0
对抗遗忘	https://github.com/lestweforget/wuhan2019	2020-02-05 15:15:42 HKT+0800	None	GPL-3.0 license	2	None	0
Tracker for 2019-nCoV using data from the U.S CDC and John Hopkins University	https://github.com/tchervo/Corona-Tracker	2020-02-05 15:14:11 HKT+0800	Python	GPL-3.0 license	0	None	0
JSON data about numbers of infection / deaths in the globe	https://github.com/vndevpro/2019-ncov-confirmed	2020-02-05 15:12:59 HKT+0800	None	None	0	None	0
ncov web	https://github.com/pzhaonet/ncov	2020-02-05 15:11:21 HKT+0800	HTML	None	0	None	0
Analysis of 2019-nCoV outbreak	https://github.com/adamkucharski/2020-ncov	2020-02-05 15:08:10 HKT+0800	HTML	GPL-3.0 license	8	None	0
良渚新城疫情统计	https://github.com/Tigerye/liangzxc-statistics	2020-02-05 15:04:22 HKT+0800	Java	None	0	None	0
Representation of the coronavirus that appeared in Wuhan, China in 2019	https://github.com/louisnot/n-Cov2019	2020-02-05 15:00:59 HKT+0800	Jupyter Notebook	None	0	None	0
肺炎疫情数据展示	https://github.com/forgogo/epidemicreport	2020-02-05 15:00:41 HKT+0800	Vue	None	0	javascript, css, html, vue	0
For Coronavirus information	https://github.com/mcodz/coronavirus	2020-02-05 14:57:08 HKT+0800	HTML	None	0	None	0
wuhan2020_minapp	https://github.com/xiebinbin/wuhan2020_minapp	2020-02-05 14:51:55 HKT+0800	TypeScript	None	6	None	0
一个简陋的微信新型冠状病毒疫情实时播报/查询机器人	https://github.com/HPShark/virus-weixinbot	2020-02-05 14:49:08 HKT+0800	Python	None	0	None	0
本项目使用flutter开发,主要内容为疫情地图、实时疫情、同行程查询、辟谣、以及收集平台疫情通道，以达到实时掌握最新疫情，完成紧急辟谣、同行程乘车查询等目的。	https://github.com/LiangWuCode/2019-nCoV	2020-02-05 14:48:05 HKT+0800	Dart	None	0	None	0
Back-of-the-envelope attempt to convert incidence of SARS-nCoV case reports into incidence of infections	https://github.com/jameshay218/case_to_infection	2020-02-05 14:43:11 HKT+0800	R	GPL-3.0 license	7	None	0
nCoV-map	https://github.com/2020-nCoV/nCoV-map	2020-02-05 14:42:32 HKT+0800	Vue	None	1	None	0
A mini program for Wuhan pneumonia	https://github.com/dlifforg/Wuhan97	2020-02-05 14:39:52 HKT+0800	TypeScript	None	0	react, sass, typescript, mini-program, tarojs	0
I'd like to keep a dairy during my stay back in China when the Coronavirus is spreading about what I encountered.	https://github.com/Nova-Xue/Days-In-China-with-Coronavirus-Spreading	2020-02-05 14:39:45 HKT+0800	Roff	None	0	None	0
